LatMin,LonMin,LatMax,LonMax,Class
37.148014,37.148014,37.147213,126.35753,INFRA
37.151688,37.151688,37.150364,126.4508,INFRA
37.176155,37.176155,37.175488,126.38765,INFRA
37.17613,37.17613,37.17551,126.38695,INFRA
37.16721,37.16721,37.166466,126.37118,INFRA
37.149822,37.149822,37.147923,126.33824,INFRA
37.161404,37.161404,37.160416,126.37558,INFRA
37.18511,37.18511,37.184498,126.34021,INFRA
37.185337,37.185337,37.184628,126.4078,INFRA
37.18627,37.18627,37.18549,126.409996,INFRA
37.148876,37.148876,37.14671,126.50213,INFRA
37.152256,37.152256,37.151237,126.50802,INFRA
37.154613,37.154613,37.153908,126.48981,INFRA
37.192078,37.192078,37.191185,126.4653,INFRA
37.163387,37.163387,37.16238,126.449135,INFRA
37.16218,37.16218,37.16107,126.469345,INFRA
37.16321,37.16321,37.162197,126.44984,INFRA
37.14605,37.14605,37.145226,126.41734,INFRA
37.149483,37.149483,37.148617,126.48402,INFRA
37.14596,37.14596,37.145313,126.4528,INFRA
37.164856,37.164856,37.164146,126.45603,INFRA
37.152172,37.152172,37.15132,126.45992,INFRA
37.15218,37.15218,37.15131,126.50731,INFRA
37.152645,37.152645,37.151566,126.498276,INFRA
37.157314,37.157314,37.156597,126.45305,INFRA
37.165993,37.165993,37.164806,126.46427,INFRA
37.15224,37.15224,37.151253,126.445656,INFRA
37.160767,37.160767,37.159973,126.505165,INFRA
37.156315,37.156315,37.15544,126.467705,INFRA
37.14864,37.14864,37.147663,126.493004,INFRA
37.14969,37.14969,37.14877,126.48723,INFRA
37.153637,37.153637,37.15273,126.47863,INFRA
37.150406,37.150406,37.14949,126.45408,INFRA
37.1565,37.1565,37.155613,126.50159,INFRA
37.148014,37.148014,37.146854,126.50252,INFRA
37.156536,37.156536,37.15558,126.4929,INFRA
37.161907,37.161907,37.160984,126.46845,INFRA
37.161015,37.161015,37.160084,126.48581,INFRA
37.1522,37.1522,37.15129,126.508026,INFRA
37.160812,37.160812,37.159927,126.50512,INFRA
37.152634,37.152634,37.151573,126.49825,INFRA
37.156513,37.156513,37.1556,126.50156,INFRA
37.14783,37.14783,37.146675,126.50257,INFRA
37.07767,37.07767,37.07634,125.65718,INFRA
37.077694,37.077694,37.076317,125.65723,INFRA
37.093475,37.093475,37.092155,125.77404,INFRA
37.084797,37.084797,37.083588,125.76148,INFRA
37.078705,37.078705,37.07746,125.81537,INFRA
37.092575,37.092575,37.09126,125.78566,INFRA
37.102375,37.102375,37.101223,125.78054,INFRA
37.066986,37.066986,37.066185,125.84954,INFRA
37.09221,37.09221,37.091267,125.785545,INFRA
37.07861,37.07861,37.077557,125.81534,INFRA
37.116554,37.116554,37.11543,125.894455,INFRA
37.080116,37.080116,37.078926,125.824,INFRA
37.10533,37.10533,37.10402,125.951675,INFRA
37.112156,37.112156,37.111202,125.90262,INFRA
37.11653,37.11653,37.115456,125.89445,INFRA
37.10752,37.10752,37.10578,125.89854,INFRA
37.10795,37.10795,37.10679,125.94434,INFRA
