LatMin,LonMin,LatMax,LonMax,Class
37.23547,37.23547,37.23493,126.88773,INFRA_RGB000102
37.147156,37.147156,37.146275,126.064705,INFRA_RGB000102
37.15254,37.15254,37.15167,126.10104,INFRA_RGB000102
37.151356,37.151356,37.1507,126.09586,INFRA_RGB000102
37.151356,37.151356,37.1507,126.09297,INFRA_RGB000102
37.14757,37.14757,37.14658,126.06687,INFRA_RGB000102
37.147,37.147,37.145714,126.06969,INFRA_RGB000102
37.147236,37.147236,37.146553,126.236145,INFRA_RGB000102
37.14735,37.14735,37.146797,126.338036,INFRA_RGB000102
37.147236,37.147236,37.146194,126.42225,INFRA_RGB000102
37.177094,37.177094,37.175987,126.37281,INFRA_RGB000102
37.17705,37.17705,37.176025,126.3735,INFRA_RGB000102
37.159885,37.159885,37.158695,126.38585,INFRA_RGB000102
37.1474,37.1474,37.14603,126.42386,INFRA_RGB000102
37.147243,37.147243,37.146187,126.42233,INFRA_RGB000102
37.235455,37.235455,37.234943,126.88774,INFRA_RGB000102
37.167538,37.167538,37.166855,126.94819,INFRA_RGB000102
37.07767,37.07767,37.07634,125.65718,INFRA_RGB000102
37.077694,37.077694,37.076317,125.65723,INFRA_RGB000102
37.093475,37.093475,37.092155,125.77404,INFRA_RGB000102
37.084797,37.084797,37.083588,125.76148,INFRA_RGB000102
37.078705,37.078705,37.07746,125.81537,INFRA_RGB000102
37.092575,37.092575,37.09126,125.78566,INFRA_RGB000102
37.102375,37.102375,37.101223,125.78054,INFRA_RGB000102
37.078712,37.078712,37.077454,125.81537,INFRA_RGB000102
37.090782,37.090782,37.08982,125.86062,INFRA_RGB000102
37.093224,37.093224,37.09205,125.85378,INFRA_RGB000102
37.092323,37.092323,37.091156,125.785614,INFRA_RGB000102
37.08021,37.08021,37.07883,125.824036,INFRA_RGB000102
37.116623,37.116623,37.11536,125.89416,INFRA_RGB000102
37.11215,37.11215,37.111214,125.90261,INFRA_RGB000102
37.10802,37.10802,37.106716,125.94442,INFRA_RGB000102
37.10629,37.10629,37.105576,125.927734,INFRA_RGB000102
37.08113,37.08113,37.07935,125.972626,INFRA_RGB000102
37.11652,37.11652,37.115467,125.89444,INFRA_RGB000102
37.105354,37.105354,37.103992,125.95168,INFRA_RGB000102
37.107506,37.107506,37.105797,125.89852,INFRA_RGB000102
37.107986,37.107986,37.10675,125.94444,INFRA_RGB000102
37.081207,37.081207,37.079273,125.97265,INFRA_RGB000102
37.10534,37.10534,37.104008,125.95168,INFRA_RGB000102
37.07124,37.07124,37.070553,126.12102,INFRA_RGB000102
37.06745,37.06745,37.0668,126.206566,INFRA_RGB000102
37.081013,37.081013,37.079826,126.25769,INFRA_RGB000102
37.0865,37.0865,37.084763,126.31789,INFRA_RGB000102
37.105843,37.105843,37.105305,126.37683,INFRA_RGB000102
37.109653,37.109653,37.10904,126.38111,INFRA_RGB000102
37.1073,37.1073,37.10672,126.3804,INFRA_RGB000102
37.10438,37.10438,37.10353,126.38768,INFRA_RGB000102
37.11069,37.11069,37.110153,126.38758,INFRA_RGB000102
37.10251,37.10251,37.101807,126.39047,INFRA_RGB000102
37.106777,37.106777,37.106163,126.39408,INFRA_RGB000102
37.106457,37.106457,37.105766,126.39122,INFRA_RGB000102
37.10209,37.10209,37.10151,126.39046,INFRA_RGB000102
37.104477,37.104477,37.10379,126.388405,INFRA_RGB000102
37.10322,37.10322,37.102535,126.38694,INFRA_RGB000102
37.106243,37.106243,37.10526,126.385,INFRA_RGB000102
37.138973,37.138973,37.138287,126.43434,INFRA_RGB000102
37.13949,37.13949,37.138847,126.43293,INFRA_RGB000102
37.141884,37.141884,37.14113,126.41586,INFRA_RGB000102
37.138577,37.138577,37.137962,126.434326,INFRA_RGB000102
37.14094,37.14094,37.140274,126.41789,INFRA_RGB000102
37.141857,37.141857,37.14115,126.41654,INFRA_RGB000102
37.14624,37.14624,37.145393,126.42291,INFRA_RGB000102
37.13991,37.13991,37.139145,126.42167,INFRA_RGB000102
37.133224,37.133224,37.132538,126.43439,INFRA_RGB000102
37.12277,37.12277,37.12215,126.44155,INFRA_RGB000102
37.147106,37.147106,37.146324,126.42224,INFRA_RGB000102
37.147324,37.147324,37.146107,126.42379,INFRA_RGB000102
37.16754,37.16754,37.166855,126.948204,INFRA_RGB000102
37.014965,37.014965,37.014,125.33621,INFRA_RGB000102
37.002052,37.002052,37.001045,125.34181,INFRA_RGB000102
37.019894,37.019894,37.01913,125.25441,INFRA_RGB000102
37.03468,37.03468,37.03381,125.32588,INFRA_RGB000102
37.007698,37.007698,37.006897,125.2521,INFRA_RGB000102
37.019493,37.019493,37.018097,125.32719,INFRA_RGB000102
36.98896,36.98896,36.987545,125.32813,INFRA_RGB000102
37.007336,37.007336,37.005817,125.3368,INFRA_RGB000102
37.01492,37.01492,37.014046,125.33629,INFRA_RGB000102
36.999207,36.999207,36.99814,125.308395,INFRA_RGB000102
37.009567,37.009567,37.008617,125.34549,INFRA_RGB000102
37.002075,37.002075,37.00102,125.34183,INFRA_RGB000102
37.01946,37.01946,37.01813,125.32716,INFRA_RGB000102
37.038982,37.038982,37.038136,125.39223,INFRA_RGB000102
37.03464,37.03464,37.03385,125.32588,INFRA_RGB000102
36.988953,36.988953,36.987553,125.32813,INFRA_RGB000102
37.007256,37.007256,37.005898,125.33678,INFRA_RGB000102
37.023586,37.023586,37.02119,125.58232,INFRA_RGB000102
37.023354,37.023354,37.02142,125.62549,INFRA_RGB000102
37.077694,37.077694,37.076317,125.65714,INFRA_RGB000102
37.01583,37.01583,37.014572,125.71086,INFRA_RGB000102
37.0586,37.0586,37.057682,125.67304,INFRA_RGB000102
37.070248,37.070248,37.06939,125.66043,INFRA_RGB000102
37.02792,37.02792,37.026917,125.72656,INFRA_RGB000102
37.023125,37.023125,37.02165,125.62532,INFRA_RGB000102
37.003677,37.003677,37.002293,125.708305,INFRA_RGB000102
37.077538,37.077538,37.076473,125.657036,INFRA_RGB000102
37.084675,37.084675,37.08371,125.76141,INFRA_RGB000102
37.027905,37.027905,37.02693,125.72654,INFRA_RGB000102
37.003555,37.003555,37.002415,125.70786,INFRA_RGB000102
37.005733,37.005733,37.004547,125.81033,INFRA_RGB000102
37.030155,37.030155,37.028996,125.75288,INFRA_RGB000102
37.078773,37.078773,37.077755,125.815315,INFRA_RGB000102
37.102158,37.102158,37.10144,125.78056,INFRA_RGB000102
37.09072,37.09072,37.08988,125.86056,INFRA_RGB000102
37.00608,37.00608,37.004917,125.810326,INFRA_RGB000102
37.078594,37.078594,37.07757,125.81533,INFRA_RGB000102
37.09221,37.09221,37.091267,125.78554,INFRA_RGB000102
37.03363,37.03363,37.032703,125.81962,INFRA_RGB000102
37.020706,37.020706,37.019756,125.82252,INFRA_RGB000102
37.080097,37.080097,37.078945,125.82398,INFRA_RGB000102
37.060257,37.060257,37.05854,125.9677,INFRA_RGB000102
37.057034,37.057034,37.056015,125.93067,INFRA_RGB000102
37.081165,37.081165,37.07931,125.972626,INFRA_RGB000102
37.0525,37.0525,37.051205,125.92362,INFRA_RGB000102
37.068302,37.068302,37.06451,125.944,INFRA_RGB000102
37.081215,37.081215,37.079266,125.97264,INFRA_RGB000102
37.102104,37.102104,37.101494,126.07302,INFRA_RGB000102
37.06649,37.06649,37.065964,126.21012,INFRA_RGB000102
37.094364,37.094364,37.093784,126.12887,INFRA_RGB000102
37.066673,37.066673,37.066135,126.20941,INFRA_RGB000102
37.100826,37.100826,37.100254,126.137474,INFRA_RGB000102
37.094376,37.094376,37.093773,126.12816,INFRA_RGB000102
37.09223,37.09223,37.091606,126.12887,INFRA_RGB000102
37.09738,37.09738,37.096874,126.11879,INFRA_RGB000102
37.099888,37.099888,37.0994,126.12955,INFRA_RGB000102
37.06744,37.06744,37.066807,126.20582,INFRA_RGB000102
37.063988,37.063988,37.06343,126.120255,INFRA_RGB000102
37.064167,37.064167,37.063614,126.12098,INFRA_RGB000102
37.067444,37.067444,37.066807,126.20653,INFRA_RGB000102
37.071205,37.071205,37.070587,126.12099,INFRA_RGB000102
37.000687,37.000687,36.999535,126.27397,INFRA_RGB000102
37.022163,37.022163,37.021175,126.356964,INFRA_RGB000102
37.081055,37.081055,37.079784,126.257675,INFRA_RGB000102
37.08667,37.08667,37.08495,126.31794,INFRA_RGB000102
37.00067,37.00067,36.99955,126.27403,INFRA_RGB000102
37.02216,37.02216,37.02118,126.35696,INFRA_RGB000102
37.102066,37.102066,37.101532,126.39051,INFRA_RGB000102
37.067867,37.067867,37.064945,127.84485,INFRA_RGB000102
37.067944,37.067944,37.06487,127.84485,INFRA_RGB000102
37.021492,37.021492,37.020412,125.33131,INFRA_RGB000102
37.008404,37.008404,37.00763,125.34004,INFRA_RGB000102
37.002052,37.002052,37.00104,125.34175,INFRA_RGB000102
37.020283,37.020283,37.019463,125.25441,INFRA_RGB000102
36.956432,36.956432,36.95539,125.28532,INFRA_RGB000102
37.00804,37.00804,37.00727,125.25208,INFRA_RGB000102
37.014965,37.014965,37.014,125.336205,INFRA_RGB000102
36.9889,36.9889,36.987606,125.32821,INFRA_RGB000102
37.01945,37.01945,37.01814,125.327065,INFRA_RGB000102
37.00728,37.00728,37.00588,125.33689,INFRA_RGB000102
36.92513,36.92513,36.92417,125.40969,INFRA_RGB000102
37.005886,37.005886,37.00511,125.33377,INFRA_RGB000102
37.008423,37.008423,37.007607,125.34014,INFRA_RGB000102
37.00625,37.00625,37.00547,125.34681,INFRA_RGB000102
37.010265,37.010265,37.009357,125.347466,INFRA_RGB000102
37.009876,37.009876,37.00903,125.347565,INFRA_RGB000102
36.93754,36.93754,36.936916,125.346344,INFRA_RGB000102
36.999165,36.999165,36.99818,125.308395,INFRA_RGB000102
36.923927,36.923927,36.9225,125.4045,INFRA_RGB000102
36.951687,36.951687,36.950794,125.34222,INFRA_RGB000102
37.00207,37.00207,37.001026,125.34191,INFRA_RGB000102
37.014874,37.014874,37.01409,125.33627,INFRA_RGB000102
36.988884,36.988884,36.98762,125.3282,INFRA_RGB000102
37.01944,37.01944,37.01815,125.32714,INFRA_RGB000102
37.009563,37.009563,37.008625,125.345505,INFRA_RGB000102
36.95093,36.95093,36.950115,125.34326,INFRA_RGB000102
36.951992,36.951992,36.95121,125.34174,INFRA_RGB000102
36.92627,36.92627,36.92375,125.401596,INFRA_RGB000102
37.007313,37.007313,37.00584,125.33688,INFRA_RGB000102
36.923866,36.923866,36.92256,125.40427,INFRA_RGB000102
36.92623,36.92623,36.92379,125.401505,INFRA_RGB000102
37.022465,37.022465,37.02159,125.62523,INFRA_RGB000102
36.97271,36.97271,36.971455,125.59145,INFRA_RGB000102
37.023014,37.023014,37.02104,125.62545,INFRA_RGB000102
37.0156,37.0156,37.014088,125.710915,INFRA_RGB000102
37.00405,37.00405,37.00192,125.70852,INFRA_RGB000102
36.922565,36.922565,36.921707,125.75135,INFRA_RGB000102
37.003536,37.003536,37.002434,125.708244,INFRA_RGB000102
37.01983,37.01983,37.01848,125.80352,INFRA_RGB000102
37.02004,37.02004,37.01899,125.8002,INFRA_RGB000102
36.915794,36.915794,36.91482,125.760025,INFRA_RGB000102
36.957973,36.957973,36.956726,125.772964,INFRA_RGB000102
37.006138,37.006138,37.004864,125.81036,INFRA_RGB000102
36.949238,36.949238,36.948215,125.81478,INFRA_RGB000102
36.930103,36.930103,36.927105,125.78739,INFRA_RGB000102
37.020054,37.020054,37.018974,125.80023,INFRA_RGB000102
36.91064,36.91064,36.909916,125.875946,INFRA_RGB000102
37.019787,37.019787,37.01852,125.80354,INFRA_RGB000102
37.020756,37.020756,37.019707,125.82254,INFRA_RGB000102
36.930157,36.930157,36.92705,125.78739,INFRA_RGB000102
36.9088,36.9088,36.908165,125.87834,INFRA_RGB000102
36.910744,36.910744,36.909813,125.87602,INFRA_RGB000102
36.95645,36.95645,36.95537,125.90051,INFRA_RGB000102
36.928284,36.928284,36.92677,125.89342,INFRA_RGB000102
37.022167,37.022167,37.02117,125.90122,INFRA_RGB000102
36.97497,36.97497,36.974224,125.87384,INFRA_RGB000102
37.01739,37.01739,37.016605,125.91671,INFRA_RGB000102
36.923416,36.923416,36.92229,125.86927,INFRA_RGB000102
36.908867,36.908867,36.908096,125.87842,INFRA_RGB000102
36.940292,36.940292,36.939194,126.01838,INFRA_RGB000102
36.95664,36.95664,36.955906,126.022606,INFRA_RGB000102
36.956276,36.956276,36.95555,126.02262,INFRA_RGB000102
36.969517,36.969517,36.9689,126.20506,INFRA_RGB000102
36.96772,36.96772,36.967106,126.20865,INFRA_RGB000102
36.962357,36.962357,36.961685,126.206505,INFRA_RGB000102
36.969147,36.969147,36.96855,126.205055,INFRA_RGB000102
36.97635,36.97635,36.975723,126.21226,INFRA_RGB000102
36.98211,36.98211,36.981457,126.20798,INFRA_RGB000102
36.97963,36.97963,36.97891,126.21308,INFRA_RGB000102
36.943924,36.943924,36.94275,126.19676,INFRA_RGB000102
37.00071,37.00071,36.999508,126.274,INFRA_RGB000102
37.02218,37.02218,37.021164,126.35695,INFRA_RGB000102
37.0007,37.0007,36.99952,126.27394,INFRA_RGB000102
37.023235,37.023235,37.02226,126.36041,INFRA_RGB000102
37.01762,37.01762,37.017097,126.390434,INFRA_RGB000102
37.017246,37.017246,37.01675,126.39043,INFRA_RGB000102
37.022682,37.022682,37.022095,126.3603,INFRA_RGB000102
