LatMin,LonMin,LatMax,LonMax,class
32.64896,121.1296,32.65148,121.134,WIND
32.64878,121.1349,32.6513,121.139,WIND
32.64824,121.1402,32.65112,121.1446,WIND
32.6486,121.1476,32.65094,121.1521,WIND
32.64842,121.1557,32.65094,121.1597,WIND
32.64842,121.1631,32.65094,121.167,WIND
32.66944,121.1374,32.67142,121.142,WIND
32.66962,121.1444,32.67196,121.1487,WIND
32.66909,121.1501,32.6716,121.1546,WIND
32.66891,121.1566,32.67178,121.1604,WIND
32.66909,121.1625,32.6716,121.1668,WIND
32.66927,121.169,32.67178,121.1731,WIND
32.684,121.1253,32.68633,121.1296,WIND
32.684,121.1388,32.68651,121.1438,WIND
32.68418,121.153,32.68651,121.1573,WIND
32.69909,121.1092,32.70106,121.1133,WIND
32.69891,121.1183,32.70125,121.1226,WIND
32.69909,121.1284,32.70106,121.1325,WIND
32.69891,121.1381,32.70088,121.1419,WIND
32.69873,121.1476,32.70106,121.1516,WIND
32.69837,121.1577,32.70071,121.1616,WIND
32.69873,121.1672,32.70088,121.1715,WIND
32.62794,121.1631,32.63046,121.1672,WIND
32.62615,121.1699,32.62902,121.174,WIND
32.64842,121.1708,32.6513,121.1746,WIND
32.62543,121.1764,32.6283,121.1801,WIND
32.62381,121.1834,32.62633,121.1877,WIND
32.62237,121.1904,32.62489,121.195,WIND
32.62094,121.1976,32.62363,121.2026,WIND
32.61968,121.2044,32.62273,121.2087,WIND
32.61842,121.2109,32.62094,121.2162,WIND
32.61734,121.2179,32.61986,121.2229,WIND
32.63962,121.1859,32.64214,121.1906,WIND
32.66909,121.1751,32.6716,121.1794,WIND
32.66891,121.181,32.67142,121.1853,WIND
32.66873,121.1875,32.6716,121.1922,WIND
32.66873,121.1938,32.67142,121.1981,WIND
32.66855,121.1997,32.6716,121.204,WIND
32.66801,121.2051,32.67178,121.2105,WIND
32.66783,121.2121,32.67124,121.2168,WIND
32.68364,121.1801,32.68615,121.185,WIND
32.69837,121.1764,32.70125,121.1814,WIND
32.69783,121.1859,32.70088,121.1906,WIND
32.69783,121.1954,32.70106,121.2001,WIND
32.69783,121.2051,32.70071,121.2101,WIND
32.68328,121.1938,32.68615,121.199,WIND
32.6831,121.2067,32.68669,121.2114,WIND
32.68328,121.2155,32.68615,121.2211,WIND
32.69783,121.215,32.70035,121.2193,WIND
32.69801,121.2211,32.70071,121.2258,WIND
32.69783,121.2276,32.70035,121.2322,WIND
32.63872,121.1947,32.6416,121.199,WIND
32.63944,121.2033,32.64196,121.2078,WIND
32.63854,121.215,32.64178,121.2191,WIND
32.6522,121.2132,32.65471,121.2179,WIND
32.65238,121.2238,32.65489,121.2286,WIND
32.6389,121.2272,32.64124,121.2315,WIND
32.62004,121.2245,32.62255,121.2286,WIND
32.62201,121.2308,32.62471,121.2355,WIND
32.62417,121.2362,32.62758,121.2416,WIND
32.62669,121.2436,32.62956,121.2473,WIND
32.62884,121.2491,32.63225,121.2534,WIND
32.63782,121.252,32.64124,121.256,WIND
32.63836,121.2597,32.64124,121.264,WIND
32.63836,121.2669,32.64124,121.2705,WIND
32.63746,121.2732,32.64124,121.278,WIND
32.63764,121.2804,32.64124,121.2845,WIND
32.63854,121.2383,32.6416,121.243,WIND
32.65184,121.2385,32.65489,121.2428,WIND
32.65184,121.2497,32.65525,121.2543,WIND
32.65148,121.2621,32.65489,121.2666,WIND
32.65112,121.2709,32.65435,121.2754,WIND
32.65148,121.2784,32.65435,121.2825,WIND
32.69783,121.2339,32.70053,121.2376,WIND
32.69783,121.2391,32.70017,121.2434,WIND
32.69765,121.2448,32.70035,121.2495,WIND
32.69172,121.2838,32.69496,121.2885,WIND
32.69154,121.2908,32.6946,121.2957,WIND
32.67968,121.2921,32.68256,121.2971,WIND
32.67861,121.3023,32.68202,121.3072,WIND
32.6919,121.2971,32.69442,121.3016,WIND
32.69208,121.3039,32.6946,121.3082,WIND
32.69172,121.3109,32.69406,121.3156,WIND
32.69136,121.3169,32.69406,121.3221,WIND
